language,seconds,seed,ecapa_eer.ref,ecapa_eer.src,ecapa_speaker_similarity.ref.gen_vs_ref_mean,ecapa_speaker_similarity.ref.gt_pair_mean,ecapa_speaker_similarity.src.gen_vs_src_mean,ecapa_speaker_similarity.src.gt_pair_mean,redimnet_eer.ref,redimnet_eer.src,redimnet_speaker_similarity.ref.gen_vs_ref_mean,redimnet_speaker_similarity.ref.gt_pair_mean,redimnet_speaker_similarity.src.gen_vs_src_mean,redimnet_speaker_similarity.src.gt_pair_mean,dns_mos.gt_mean,dns_mos.gen_mean,wer.source_mean,wer.converted_mean,cer.source_mean,cer.converted_mean,num_items
spanish,10,73,0.17,0.010000000000000009,0.6211926341056824,0.8000739812850952,0.1322406828403473,0.7878797054290771,0.09999999999999999,0.0,0.5962695479393005,0.8369433879852295,0.11360465735197067,0.8140869140625,3.966245412826538,3.8175172805786133,0.046084605157375336,0.15336361527442932,0.02224971354007721,0.06961342692375183,50
spanish,10,42,0.11000000000000001,0.0,0.5949448347091675,0.7929965853691101,0.14756502211093903,0.8015334606170654,0.09999999999999999,0.0,0.546557605266571,0.8064550757408142,0.13412879407405853,0.8303515911102295,3.892544746398926,3.869319200515747,0.04374779388308525,0.13849039375782013,0.023370645940303802,0.05764342471957207,50
french,10,37,0.12000000000000002,0.0,0.6306337714195251,0.7687413096427917,0.15213915705680847,0.7892922759056091,0.10999999999999999,0.0,0.5672217011451721,0.7894433736801147,0.16433551907539368,0.7940136790275574,3.940354108810425,3.84299898147583,0.0499066561460495,0.17851871252059937,0.030109474435448647,0.09220360964536667,50
french,60,37,0.17,0.0,0.6906484365463257,0.7951047420501709,0.14908212423324585,0.7681427597999573,0.15000000000000002,0.0,0.6449413895606995,0.8096093535423279,0.18162323534488678,0.7908594012260437,3.8622677326202393,3.9432895183563232,0.04904072359204292,0.08143734186887741,0.02444307506084442,0.03828735649585724,50
french,30,73,0.21999999999999997,0.0,0.6608941555023193,0.7769856452941895,0.14924098551273346,0.7872241139411926,0.13,0.0,0.6046826243400574,0.796582043170929,0.164642333984375,0.7989453077316284,3.891094923019409,3.8827614784240723,0.058343082666397095,0.14774960279464722,0.02802434377372265,0.07250203937292099,50
french,30,42,0.27,0.0,0.6882950663566589,0.7892827391624451,0.16639459133148193,0.7843666672706604,0.060000000000000026,0.0,0.6271728277206421,0.8129687309265137,0.18392609059810638,0.806201159954071,3.8938138484954834,3.8977036476135254,0.08195678889751434,0.1446051299571991,0.05383481830358505,0.07610072940587997,50
french,3,42,0.02000000000000001,0.0,0.43932560086250305,0.7667095065116882,0.1248120665550232,0.7677527070045471,0.0,0.0,0.4160705506801605,0.7885448932647705,0.1397656947374344,0.779589831829071,3.9005091190338135,3.5275509357452393,0.06924142688512802,0.7659683227539062,0.04245472326874733,0.49397414922714233,50
french,3,73,0.02,0.0,0.47059547901153564,0.7966265082359314,0.10171547532081604,0.7785677313804626,0.06000000000000002,0.0,0.4252563416957855,0.8049023151397705,0.12892527878284454,0.7975000143051147,3.8518195152282715,3.4735212326049805,0.06478063017129898,0.5823965668678284,0.04010944440960884,0.3605971038341522,25
french,3,37,0.03124999999999998,0.0,0.4700429141521454,0.7864459156990051,0.1436089724302292,0.7753510475158691,0.0,0.0,0.4096946716308594,0.8068034052848816,0.1427338868379593,0.7919718623161316,3.947382926940918,3.4914960861206055,0.0859563946723938,0.6692361831665039,0.055511802434921265,0.3999890983104706,48
french,30,37,0.27,0.0,0.6641144752502441,0.7641061544418335,0.15869873762130737,0.7896345257759094,0.13,0.0,0.6095312237739563,0.7837109565734863,0.16645294427871704,0.8041406273841858,3.9244472980499268,3.922529935836792,0.09706388413906097,0.1341908574104309,0.06936225295066833,0.07666415721178055,50
french,60,42,0.18000000000000002,0.0,0.6965301632881165,0.7991297245025635,0.16053974628448486,0.7925949692726135,0.06999999999999998,0.0,0.6444433331489563,0.8203515410423279,0.17940308153629303,0.796630859375,3.9420166015625,3.952059268951416,0.08380835503339767,0.10170500725507736,0.0476919524371624,0.049451228231191635,50
french,60,73,0.25,0.0,0.6812784671783447,0.768107533454895,0.1858471930027008,0.7776124477386475,0.14,0.0,0.6336914300918579,0.7820996046066284,0.191405788064003,0.7918261885643005,3.893716335296631,3.8876793384552,0.05931535363197327,0.13439427316188812,0.028598768636584282,0.09425961226224899,50
