language,seconds,seed,ecapa_eer.ref,ecapa_eer.src,ecapa_speaker_similarity.ref.gen_vs_ref_mean,ecapa_speaker_similarity.ref.gt_pair_mean,ecapa_speaker_similarity.src.gen_vs_src_mean,ecapa_speaker_similarity.src.gt_pair_mean,redimnet_eer.ref,redimnet_eer.src,redimnet_speaker_similarity.ref.gen_vs_ref_mean,redimnet_speaker_similarity.ref.gt_pair_mean,redimnet_speaker_similarity.src.gen_vs_src_mean,redimnet_speaker_similarity.src.gt_pair_mean,dns_mos.gt_mean,dns_mos.gen_mean,wer.source_mean,wer.converted_mean,cer.source_mean,cer.converted_mean,num_items
polish,30,73,0.33999999999999997,0.0,0.738526463508606,0.7779695391654968,0.1315251886844635,0.7819358706474304,0.21999999999999997,0.0,0.7196875214576721,0.803955078125,0.13089875876903534,0.8012304902076721,3.890448808670044,3.7519803047180176,0.057503748685121536,0.08656308054924011,0.02646649442613125,0.026066720485687256,50
polish,30,42,0.33999999999999997,0.0,0.7333703637123108,0.7862288951873779,0.14504200220108032,0.7934719920158386,0.17000000000000004,0.0,0.7198827862739563,0.8060351610183716,0.14500457048416138,0.8253027200698853,3.8795101642608643,3.7576446533203125,0.0648011788725853,0.06686298549175262,0.043913088738918304,0.018775558099150658,50
polish,3,42,0.17000000000000004,0.0,0.6639475226402283,0.7986480593681335,0.15605080127716064,0.7930924296379089,0.060000000000000026,0.0,0.6130908131599426,0.8171582221984863,0.16072936356067657,0.8125683665275574,3.866708278656006,3.6183359622955322,0.046763841062784195,0.06792695820331573,0.01726377010345459,0.016833579167723656,50
polish,3,73,0.18000000000000002,0.0,0.6530729532241821,0.7907382845878601,0.14338359236717224,0.8060712218284607,0.09999999999999999,0.0,0.6130077838897705,0.8051953315734863,0.13681671023368835,0.8220800757408142,3.9099652767181396,3.6125638484954834,0.04773707315325737,0.0617334321141243,0.019600320607423782,0.016075201332569122,50
polish,3,37,0.2,0.0,0.6481021642684937,0.8001531362533569,0.14665132761001587,0.8006171584129333,0.060000000000000026,0.0,0.5947461128234863,0.8177636861801147,0.13509979844093323,0.8199804425239563,3.9108498096466064,3.6019506454467773,0.046079374849796295,0.08006290346384048,0.011668676510453224,0.017480390146374702,50
polish,30,37,0.39,0.0,0.7593780755996704,0.7930505275726318,0.13865527510643005,0.792488694190979,0.19999999999999998,0.0,0.7385351657867432,0.8186328411102295,0.1609439104795456,0.8043359518051147,3.876477003097534,3.7789969444274902,0.04354938492178917,0.07240866869688034,0.011164613999426365,0.016787758097052574,50
polish,60,42,0.27,0.0,0.7236982583999634,0.8021743893623352,0.15099629759788513,0.7991364002227783,0.22999999999999998,0.0,0.7040234208106995,0.824267566204071,0.16374917328357697,0.8212597370147705,3.861135959625244,3.8048105239868164,0.043320558965206146,0.056434597820043564,0.018716836348176003,0.013887334614992142,50
polish,60,73,0.36,0.0,0.7355436086654663,0.7913393974304199,0.14870533347129822,0.7914657592773438,0.19999999999999998,0.0,0.7193652391433716,0.8129296898841858,0.16856232285499573,0.8098730444908142,3.907527208328247,3.8059256076812744,0.04803233593702316,0.0864935889840126,0.011638007126748562,0.026172596961259842,50
polish,10,73,0.37,0.0,0.7365715503692627,0.7932037115097046,0.13514623045921326,0.8124328851699829,0.19999999999999998,0.0,0.7024316191673279,0.8140234351158142,0.13294726610183716,0.8200976848602295,3.8691093921661377,3.673506736755371,0.05959993973374367,0.08282265812158585,0.012618687003850937,0.018048683181405067,50
polish,10,42,0.19999999999999998,0.0,0.7174911499023438,0.7938376069068909,0.15091505646705627,0.7910159826278687,0.16000000000000003,0.0,0.7047460675239563,0.8086133003234863,0.15897797048091888,0.8119726777076721,3.887788772583008,3.668327569961548,0.04840562865138054,0.06606653332710266,0.020129956305027008,0.014320559799671173,50
portuguese,10,37,0.28,0.0,0.6974851489067078,0.7861211895942688,0.14706695079803467,0.7808758020401001,0.09999999999999999,0.0,0.6389501690864563,0.833203136920929,0.11560048907995224,0.8255273699760437,3.723252058029175,3.7279739379882812,0.06557614356279373,0.08414840698242188,0.018899081274867058,0.03235685080289841,50
portuguese,60,37,0.30000000000000004,0.03000000000000001,0.7093704342842102,0.761070966720581,0.1479346603155136,0.7873135209083557,0.17,0.0,0.6599511504173279,0.8143066167831421,0.12838774919509888,0.822509765625,3.7725133895874023,3.8062474727630615,0.0978848934173584,0.11830113083124161,0.03899923339486122,0.04723377153277397,50
